sensor_combination,feature_set,model,validation_method,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
Gyroscope + Accelerometer,All features,k-NN,Leave-One-Subject-Out,60,102,0.7333333333333333,0.688888888888889,0.689606877233652,0.688888888888889,0.6881818624586012,0.7364753798947984,0.5769311953965012
Accelerometer,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.75,0.6777777777777777,0.6970121381886086,0.6777777777777777,0.6835222435078757,0.7392041826309067,0.5928919906252137
Gyroscope + Accelerometer,All features,RBF SVM,Leave-One-Subject-Out,60,102,0.75,0.6777777777777777,0.6970121381886086,0.6777777777777777,0.6835222435078757,0.7392041826309067,0.5928919906252137
Accelerometer,All features,Extra Trees,Leave-One-Subject-Out,60,51,0.7333333333333333,0.6777777777777777,0.694949494949495,0.6777777777777777,0.6832451499118166,0.7267195767195765,0.5671113760027948
Accelerometer,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.7333333333333333,0.6777777777777777,0.7001448306595366,0.6777777777777777,0.6829507857733664,0.7299550248138957,0.5707554404937246
Accelerometer,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.7333333333333333,0.6777777777777777,0.6877584780810587,0.6777777777777777,0.6814106922515172,0.732369494598474,0.5712551356364042
EMG,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.7166666666666667,0.6777777777777777,0.6846902201740911,0.6777777777777777,0.6808868789648891,0.7155831920105521,0.5438814515713791
Accelerometer + EMG,All features,Linear SVM,Leave-One-Subject-Out,60,189,0.7333333333333333,0.6777777777777777,0.6890153911026776,0.6777777777777777,0.6801128314106456,0.7313960989678203,0.5722900189768205
Accelerometer + EMG,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.7666666666666667,0.688888888888889,0.7061546840958606,0.688888888888889,0.6796497584541062,0.7441123188405797,0.6276693967331295
Accelerometer + EMG,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.75,0.6777777777777777,0.690615835777126,0.6777777777777777,0.6782452520157438,0.7463888570445947,0.6008577885339695
Gyroscope,Top 10 selected features,XGBoost,Leave-One-Subject-Out,60,10,0.75,0.6777777777777777,0.6763888888888889,0.6777777777777777,0.6766901495488815,0.7491842788283277,0.6002668445762342
Accelerometer + EMG,All features,Extra Trees,Leave-One-Subject-Out,60,189,0.75,0.6666666666666666,0.7015873015873014,0.6666666666666666,0.6736050156739811,0.7324764890282132,0.5927853087845185
Gyroscope,All features,Extra Trees,Leave-One-Subject-Out,60,51,0.75,0.6666666666666666,0.6729936729936729,0.6666666666666666,0.6680350301039956,0.7391215106732347,0.5938877862885401
Gyroscope + Accelerometer,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.75,0.6666666666666666,0.6697649572649572,0.6666666666666666,0.6670250896057347,0.7422043010752688,0.5957379944406476
